	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	22	23	24	25	27	28	29	31	42	43	44	45	46	48	49	50	51	53	54	56	57	58	61	62	71	72	81	82	83	84	90	91	92	93	95	96	97	99	100	102	103	104	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	142	143	144	145	146	147	148	149	150	151	152	153	155	156	157	158	159	161	166	167	171	172	173	174	177	178	179	180	181	182	183	184	185
Burkholderiaceae	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonadaceae	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Campylobacteraceae	15	0	0	0	0	0	0	0	0	0	2	2	0	0	2	2	2	0	2	8	7	2	3	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	0	4	2	0	0	0	0	0	0	2	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	7	2	0	0	0	2	11	2	0	0	0	0	0	2	0	0	0	7	0	0	0	6	0	0	2	0	2	4	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0	2	0
Clostridiaceae	3	19	2	2	2	8	0	2	3	5	0	0	6	2	2	3	2	0	3	2	2	0	3	8	3	4	3	3	2	2	5	3	2	3	4	2	3	4	2	4	4	3	4	5	2	3	5	6	2	0	4	3	2	4	2	2	12	3	8	2	8	3	0	0	8	2	2	2	2	2	3	0	2	2	0	20	2	2	5	2	5	2	3	2	2	6	2	3	2	4	2	0	2	9	3	2	2	2	2	2	0	4	2	14	3	3	5	2	2	4	2	2	2	2	2	2	5	2	10	3	2	2	2	2
Mycobacteriaceae	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Micrococcaceae	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacteriaceae	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2
Peptostreptococcaceae	2	3	3	5	29	10	9	10	9	4	4	4	6	8	5	2	3	3	3	0	2	2	3	5	3	4	3	2	0	0	0	0	0	2	0	2	0	3	2	3	2	2	2	18	4	8	5	4	4	3	4	0	0	2	2	9	2	0	8	2	2	2	3	0	0	0	0	2	4	3	5	11	6	2	6	2	3	11	2	2	5	8	2	2	2	2	0	2	2	4	2	4	3	0	4	2	2	2	4	2	7	4	2	0	3	0	4	5	5	2	2	0	0	2	2	0	0	2	0	2	2	2	2	2
Streptococcaceae	4	0	2	6	0	2	2	15	2	11	2	4	3	5	2	4	0	3	2	3	2	2	3	5	2	2	3	2	3	3	3	2	3	2	0	0	0	6	4	21	4	4	3	2	2	4	2	2	8	6	2	2	2	2	2	7	3	3	18	5	11	5	2	2	2	2	3	0	0	2	3	0	2	0	4	6	2	3	2	4	2	2	2	4	2	9	3	0	6	5	4	3	4	3	4	2	2	4	4	8	3	2	2	4	3	2	2	3	4	4	3	12	8	11	4	4	2	2	0	2	2	19	6	5
Pasteurellaceae	0	3	0	3	0	0	0	2	2	2	0	2	0	2	0	2	0	3	0	0	2	0	0	0	0	2	0	2	23	14	2	0	2	0	0	0	0	0	3	2	0	0	0	2	0	10	2	0	4	23	0	0	0	0	0	4	0	0	4	2	0	14	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	0	3	0	0	2	0	0	0	2	14	2	3	2	0	4	2	2	0	0	13	0	0	0	12	2	0	0	0	0	0	0	2	2	2	2
Comamonadaceae	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Veillonellaceae	153	0	0	2	0	0	0	0	2	2	3	2	0	4	4	2	2	2	3	4	5	2	3	0	0	0	3	0	9	18	4	0	2	0	2	0	2	0	0	4	2	2	2	2	2	5	0	2	3	8	2	0	0	2	2	4	2	2	2	0	2	2	2	0	2	2	11	2	0	0	0	0	3	4	0	2	0	2	6	2	2	0	2	3	2	3	2	0	2	8	3	0	0	12	2	0	6	4	3	7	2	2	0	4	2	0	0	2	0	2	2	0	2	2	2	2	0	4	0	2	2	0	0	2
